strategy,type,symbol,entry,sl,tp1,tp2,confidence,confidence_score,risk_reward,reason,indicators,expected_time,risk,reward,entry_type,timeframe,timestamp,exchange,candle_time,atr,signal_quality,suggested_qty,suggested_pos_size,risk_amount,sl_pct,leverage_needed,trailing_advice,tracking_status,current_price,pnl_pct,updated_at
Ichimoku Master,LONG,XRPUSDT,1.3883,1.3749500000000001,1.4434031476065534,1.4847305083114681,HIGH,7,4.1,Ichimoku TK Bullish Cross + Price above Cloud,"TK Cross, Cloud:BEARISH",12-24 hours,0.013349999999999973,0.05510314760655333,MARKET,1h,2026-02-12 18:02:36,MEXC,1770901200.0,0.013775786901638306,STRONG,7490.636704,10399.25,100.0,0.96,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1.3883,0.0,18:04:06
Vortex Trend,LONG,XRPUSDT,1.3883,1.3469726392950852,1.47095472140983,1.5398336559180215,HIGH,7,2.0,Vortex Bullish Trend Confirmed (1h),"VI+: 1.19, VI-: 0.87",24-72 hours,0.04132736070491494,0.08265472140982988,MARKET,1h,2026-02-12 18:02:36,MEXC,1770901200.0,0.013775786901638306,STRONG,2419.704484,3359.28,100.0,2.98,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1.3883,0.0,18:04:06
UT Bot Elite,SHORT,XRPUSDT,1.3887,1.4049887898464413,1.3398336304606764,1.307256050767794,HIGH,8,3.0,UT Bot Elite Sell Signal (15m) + STC Downward Momentum,"UT Stop: 1.4016, STC: 30",2-8 hours,0.01628878984644122,0.04886636953932366,MARKET,15m,2026-02-12 18:02:36,MEXC,1770901200.0,0.006515515938576451,STRONG,6139.19149,8525.5,100.0,1.17,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1.3883,0.028803917332754083,18:04:06
Mom-Confluence,LONG,XRPUSDT,1.3887,1.3756689681228471,1.414762063754306,1.4343086115700352,VERY HIGH,10,2.0,RSI Recovery Zone + StochRSI Rising + ADX Directional Strength + EMA Bullish Trend,"Score: 4/5, ADX: 29.8",1-4 hours,0.013031031877152932,0.026062063754305864,MARKET,15m,2026-02-12 18:02:36,MEXC,1770901200.0,0.006515515938576451,STRONG,7673.989362,10656.87,100.0,0.94,1.1,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1.3883,-0.028803917332754083,18:04:06
Ichimoku Master,LONG,ETHUSDT,1976.9,1958.33,2058.8032679132457,2120.23071884818,HIGH,7,4.4,Ichimoku TK Bullish Cross + Price above Cloud,"TK Cross, Cloud:BEARISH",12-24 hours,18.570000000000164,81.9032679132456,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,20.47581697831141,STRONG,5.38503,10645.67,100.0,0.94,1.1,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1977.76,0.0435024533360261,18:04:06
Vortex Trend,LONG,ETHUSDT,1976.9,1915.4725490650658,2099.7549018698687,2202.1339867614256,HIGH,7,2.0,Vortex Bullish Trend Confirmed (1h),"VI+: 1.20, VI-: 0.90",24-72 hours,61.42745093493431,122.85490186986863,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,20.47581697831141,STRONG,1.627937,3218.27,100.0,3.11,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1977.76,0.0435024533360261,18:04:06
PSAR-TEMA Scalp,SHORT,ETHUSDT,1976.91,1980.6379195193172,1967.5902012017073,1961.9983219227317,HIGH,9,2.5,PSAR Bearish (1m) + Price < TEMA (1m) + RSI Bearish Momentum + Trend Strength (ADX),"PSAR: 1980.6379, TEMA: 1977.6516",5-15 mins,3.7279195193170835,9.319798798292823,MARKET,1m,2026-02-12 18:02:37,MEXC,1770901320.0,2.2309249816748062,STRONG,26.824613,53029.85,100.0,0.19,5.3,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,1977.76,-0.04299639336135226,18:04:06
Vortex Trend,LONG,SOLUSDT,80.82,77.97670911274241,86.50658177451517,91.24539991994448,HIGH,7,2.0,Vortex Bullish Trend Confirmed (1h),"VI+: 1.19, VI-: 0.87",24-72 hours,2.843290887257581,5.686581774515176,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,0.9477636290858623,STRONG,35.170513,2842.48,100.0,3.52,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,80.91,0.11135857461024921,18:04:06
PSAR-TEMA Scalp,SHORT,SOLUSDT,80.88,81.09,80.35499999999998,80.03999999999996,HIGH,9,2.5,PSAR Bearish (1m) + Price < TEMA (1m) + RSI Bearish Momentum + Trend Strength (ADX),"PSAR: 81.0900, TEMA: 80.9476",5-15 mins,0.21000000000000796,0.5250000000000199,MARKET,1m,2026-02-12 18:02:37,MEXC,1770901320.0,0.10543569780101515,STRONG,476.190476,38514.29,100.0,0.26,3.9,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,80.91,-0.037091988130565204,18:04:06
VFI Perfect Scalper,SHORT,SOLUSDT,80.88,81.19630709340304,80.2473858131939,79.82564302198985,VERY HIGH,8,2.0,Negative Volume Flow (VFI) + RSI Bearish Momentum + Ultimate Oscillator Negative + Below ZLSMA,"VFI: -10.78, RSI: 37, UO: 50",10-30 mins,0.3163070934030401,0.6326141868060944,MARKET,1m,2026-02-12 18:02:37,MEXC,1770901320.0,0.10543569780101515,STRONG,316.148459,25570.09,100.0,0.39,2.6,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,80.91,-0.037091988130565204,18:04:06
Ichimoku Master,LONG,BNBUSDT,614.4,604.75,635.3340249979389,651.0345437463931,HIGH,7,2.2,Ichimoku TK Bullish Cross + Price above Cloud,"TK Cross, Cloud:BULLISH",12-24 hours,9.649999999999977,20.934024997938877,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,5.233506249484726,STRONG,10.362694,6366.84,100.0,1.57,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,614.3,-0.01627604166667037,18:04:06
Vortex Trend,LONG,BNBUSDT,614.4,598.6994812515458,645.8010374969083,671.968568744332,HIGH,7,2.0,Vortex Bullish Trend Confirmed (1h),"VI+: 1.16, VI-: 0.91",24-72 hours,15.700518748454215,31.401037496908316,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,5.233506249484726,STRONG,6.369216,3913.25,100.0,2.56,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,614.3,-0.01627604166667037,18:04:06
PSAR-TEMA Scalp,SHORT,BNBUSDT,614.4,615.3965038592781,611.9087403518046,610.4139845628873,HIGH,9,2.5,PSAR Bearish (1m) + Price < TEMA (1m) + RSI Bearish Momentum + Trend Strength (ADX),"PSAR: 615.3965, TEMA: 614.4272",5-15 mins,0.9965038592781639,2.4912596481954097,MARKET,1m,2026-02-12 18:02:37,MEXC,1770901320.0,0.4443737859317545,STRONG,100.350841,61655.56,100.0,0.16,6.2,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,614.3,0.01627604166667037,18:04:06
VFI Perfect Scalper,SHORT,BNBUSDT,614.4,615.7331213577952,611.7337572844094,609.9562621406824,VERY HIGH,8,2.0,Negative Volume Flow (VFI) + RSI Bearish Momentum + Ultimate Oscillator Negative + Below ZLSMA,"VFI: -15.61, RSI: 32, UO: 34",10-30 mins,1.3331213577952212,2.666242715590556,MARKET,1m,2026-02-12 18:02:37,MEXC,1770901320.0,0.4443737859317545,STRONG,75.011926,46087.33,100.0,0.22,4.6,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,614.3,0.01627604166667037,18:04:06
STC Momentum,LONG,BTCUSDT,67722.0,67241.13253309255,68683.7349338149,69405.03613417609,HIGH,7,2.0,STC Bullish Momentum Release + Trend Alignment,"STC: 95, RSI: 54",2-6 hours,480.8674669074535,961.734933814907,MARKET,15m,2026-02-12 18:02:37,MEXC,1770901200.0,240.43373345372657,STRONG,0.207958,14083.3,100.0,0.71,1.4,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,67750.1,0.041493163226138954,18:04:06
Vortex Trend,LONG,BTCUSDT,67719.8,65951.5375254903,71256.3249490194,74203.42907320222,HIGH,7,2.0,Vortex Bullish Trend Confirmed (1h),"VI+: 1.14, VI-: 0.95",24-72 hours,1768.2624745096982,3536.5249490193964,MARKET,1h,2026-02-12 18:02:37,MEXC,1770901200.0,589.4208248365651,STRONG,0.056553,3829.74,100.0,2.61,1.0,Move SL to Entry at 1:1 Profit; Take 50% at 2:1,RUNNING,67750.1,0.04474319179915314,18:04:06
